呼出しコード,品番,品名
00000001,0001,一般ごみ
00000002,0002,生ごみ
00000003,0003,ペットボトル
00000004,0004,アルミ缶
00000005,0005,スチール缶
00000006,0006,食品缶
00000007,0007,瓶（茶色）
00000008,0008,瓶（無色）
00000009,0009,小物金属
00000010,0010,雑誌・パンフ
00000011,0011,新聞紙
00000012,0012,バイオ生ごみ
00000013,0013,ステン
00000014,0014,test
00000015,0015,ビニル
00000016,0016,金属
00000017,0017,パソコン
00000018,0018,液体
